currentDirectory,currLabel,Depth,parentDirectory,PLabel,childDirectory,CLabel,NumOfFilesInside,NumofSubDir,SubDirLabels,FilePathsInsideCurr
/media/anirban/Work/Mock_Dvds/10_DOE_IV_R6/PLOTS/PLOT_DATA,PLOT_DATA,Result,/media/anirban/Work/Mock_Dvds/10_DOE_IV_R6/PLOTS,PLOTS,,,2,0,,"/media/anirban/Work/Mock_Dvds/10_DOE_IV_R6/PLOTS/PLOT_DATA/01-01-1_adjpd.csv,/media/anirban/Work/Mock_Dvds/10_DOE_IV_R6/PLOTS/PLOT_DATA/01-01-1_pd.csv"
/media/anirban/Work/Mock_Dvds/DOE_III,DOE_III,Experiment,/media/anirban/Work/Mock_Dvds,Mock_Dvds,,,0,1,DOE_III,
/media/anirban/Work/Mock_Dvds/DOE_III,DOE_III,Experiment,/media/anirban/Work/Mock_Dvds,Mock_Dvds,/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III,DOE_III,0,,,
/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III,DOE_III,Result,/media/anirban/Work/Mock_Dvds/DOE_III,DOE_III,,,2,1,12_DOE_III,"/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III/ReadMe.txt"
/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III,DOE_III,Result,/media/anirban/Work/Mock_Dvds/DOE_III,DOE_III,/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III/12_DOE_III,12_DOE_III,2,,,"/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III/ReadMe.txt"
/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III/12_DOE_III,12_DOE_III,Result,/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III,DOE_III,,,0,3,"DATA,GLASS_ANALYSIS,IMAGES",
/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III/12_DOE_III,12_DOE_III,Result,/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III,DOE_III,/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III/12_DOE_III/DATA,DATA,0,,,
/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III/12_DOE_III,12_DOE_III,Result,/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III,DOE_III,/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III/12_DOE_III/GLASS_ANALYSIS,GLASS_ANALYSIS,0,,,
/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III/12_DOE_III,12_DOE_III,Result,/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III,DOE_III,/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III/12_DOE_III/IMAGES,IMAGES,0,,,
/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III/12_DOE_III/DATA,DATA,Result,/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III/12_DOE_III,12_DOE_III,,,0,0,,
/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III/12_DOE_III/GLASS_ANALYSIS,GLASS_ANALYSIS,Result,/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III/12_DOE_III,12_DOE_III,,,0,0,,
/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III/12_DOE_III/IMAGES,IMAGES,Result,/media/anirban/Work/Mock_Dvds/DOE_III/DOE_III/12_DOE_III,12_DOE_III,,,0,0,,
